ID,Name of Business,Short Description,Address,City,State,Postcode,Phone Number,Which type of business is this?,Business Website or Other URL,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
412,Bubbles Laundromat,Laundromat,203 Schenectady Avenue,Brooklyn,NY,11213,(718) 756-2721,Service,,BROOKLYN ,40.671967,-73.933593,8,36,345,3036477,3013720001,Crown Heights North                                                        
413,Accurate Pharmacy,Local pharmacy and drugstore with amazing service,639 5th Avenue,Brooklyn,NY,11215,(718) 788-2082,Service,,BROOKLYN ,40.662942,-73.991753,7,38,143,3017074,3008790010,Park Slope-Gowanus                                                         
414,Acousticon of Flushing,Hearing Aids,39-01 Main Street,Flushing,NY,11354,(718) 445-3333,Service,,QUEENS   ,40.760169,-73.830423,7,20,871,4112490,4049800005,Flushing                                                                   
415,Butterfield Market,Gourmet food store,1114 Lexington Avenue,New York,NY,10075,(212) 288-7800,Food and Beverage,,MANHATTAN,40.77409,-73.959545,8,4,140,1043211,1014120057,Upper East Side-Carnegie Hill                                              
416,Books of Wonder,Book store,18 West 18th Street,New York,NY,10011,,Retail,,MANHATTAN,40.738859,-73.99266,5,3,54,1015426,1008190056,Hudson Yards-Chelsea-Flatiron-Union Square                                 
417,Deka jewelry,Jewelry gallery & crafting workshop,28 East 10th Street,New York,NY,10003,(212) 505-7100,Retail,,MANHATTAN,40.732574,-73.993469,2,2,59,1009095,1005617502,West Village                                                               
418,Kitchen Arts & Letters,Culinary bookstore,1435 Lexington Avenue,New York,NY,10128,(212) 876-5559,Retail,,MANHATTAN,40.784248,-73.952103,8,5,15801,1048403,1015220050,Upper East Side-Carnegie Hill                                              
419,Santa Panza,Woodfire Pizza Restaurant,1079 Broadway,Brooklyn,NY,11221,(347) 413-9695,Food and Beverage,,BROOKLYN ,40.694514,-73.930845,4,34,393,3073443,3032290047,Bushwick South                                                             
420,BE Yarn,Sewing and Craft Notions,784 Manhattan Avenue,Brooklyn,NY,11222,(718) 383-8907,Retail,,BROOKLYN ,40.727476,-73.952888,1,33,561,3065327,3025970005,Greenpoint                                                                 
421,Bell Boulevard Pharmacy,Pharmacy,47-48 Bell Blvd,Bayside,NY,11364,(718) 229-2344,Retail,,QUEENS   ,40.75629,-73.767429,11,19,1447,4157334,4073300038,Bayside-Bayside Hills                                                      
422,Eagle Cosmetics,Health market,971 1st Avenue,New York,NY,10022,(212) 838-1700,Retail,,MANHATTAN,40.756001,-73.96462,6,4,98,1039838,1013460026,Turtle Bay-East Midtown                                                    
423,Nicola's,Specialty foods,997 1st Avenue,New York,NY,10022,(212) 753-9275,Food and Beverage,,MANHATTAN,40.756775,-73.964053,6,5,108,1039951,1013470030,Turtle Bay-East Midtown                                                    
424,Karen Lord Pilates Movement,Exercise studio for pilates and more,137 Duane Street,New York,NY,10013,(917) 388-2543,Service,,MANHATTAN,40.716281,-74.007691,1,1,33,1001607,1001477509,SoHo-TriBeCa-Civic Center-Little Italy                                     
425,Uncle Al's Soul food Kitchen,Soul food Restaurant,3841 East Tremont Avenue,Bronx,NY,10465,(718) 865-9655,Food and Beverage,,BRONX    ,40.823951,-73.820006,10,13,158,2097489,2054390022,Schuylerville-Throgs Neck-Edgewater Park                                   
426,Olde Bruekelen hardware store,Hardware store,225 Bond Street,Brooklyn,NY,11217,(347) 529-5060,Retail,,BROOKLYN ,40.682611,-73.987766,6,33,71,3006449,3004050001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
427,Guadalajara del dia 2,Mexican Eatery,566 Seneca Avenue,Ridgewood,NY,11385,(717) 456-3698,Food and Beverage,,QUEENS   ,40.704735,-73.910961,5,34,545,4082091,4034370042,Ridgewood                                                                  
428,The Dojo NYC,"Jiu Jitsu, Muai Thai, Mixed Martial Arts",10-82 Cypress Avenue,Ridgewood,NY,11385,(917) 383-1053,Service,,QUEENS   ,40.696536,-73.900269,5,34,559,4085791,4035550058,Ridgewood                                                                  
429,The Way Station,Bar,683 Washington Avenue,Brooklyn,NY,11238,(347) 627-4949,Food and Beverage,,BROOKLYN ,40.676844,-73.963573,8,35,205,3325277,3011540001,Prospect Heights                                                           
430,Salza Pizza,"""Small mom & pop pizza restaurant""",7317 Woodside Avenue,Woodside,NY,11377,(718) 606-1919,Food and Beverage,,QUEENS   ,40.743095,-73.890989,4,25,265,4030731,4013130163,Elmhurst-Maspeth                                                           
431,City Cakes,Half pound cookies,251 West 18th Street,New York,NY,10011,(646) 688-2286,Food and Beverage,,MANHATTAN,40.74167,-73.999296,4,3,87,1013871,1007680009,Hudson Yards-Chelsea-Flatiron-Union Square                                 
432,Fit4dance,Dance and fittness studio,154 Utica Avenue,Brooklyn,NY,11213,,Service,,BROOKLYN ,40.673618,-73.930675,8,36,345,3036043,3013600054,Crown Heights North                                                        
433,Steves landscaping,Gardener,133 Bradley Avenue,Staten Island,NY,10314,(718) 698-7190,Service,http://Steveslandscapingny.com,STATEN IS,40.608893,-74.132173,1,50,18701,5018388,5007270012,Westerleigh                                                                
434,Rui Yong Hobby,"""Hobby shop, model shop, rc car shop, gundam shop""",6013 5th Avenue,Brooklyn,NY,11220,(646) 496-2055,Retail,http://www.ruiyonghobby.com,BROOKLYN ,40.639339,-74.016301,7,38,122,3143467,3057830005,Sunset Park West                                                           
435,IKEN Science Academy,STEM Preschool,351 East 74 Street,New York,NY,10021,(917) 476-3876,Service,http://Www.Ikenscienceacademy.com,MANHATTAN,40.76962,-73.956197,8,5,134,1044930,1014490020,Lenox Hill-Roosevelt Island                                                
436,Freddy's Bar,Bar,627 5th Avenue,Brooklyn,NY,11215,(718) 768-0131,Food and Beverage,http://freddysbar.com/,BROOKLYN ,40.663354,-73.991324,7,38,143,3016737,3008730006,Park Slope-Gowanus                                                         
437,Enoch's Bike Shop,Bicycle sales and repair shop,480 10th Avenue,New York,NY,10018,(212) 582-0620,Service,http://Enochsbikes.com,MANHATTAN,40.756338,-73.997856,4,3,111,1076126,1007340066,Hudson Yards-Chelsea-Flatiron-Union Square                                 
438,South,"""Super chill bar in South Slope. Owners support the community""",629 5th Avenue,Brooklyn,NY,11215,(718) 832-4720,Food and Beverage,https://www.facebook.com/South-114733764172/,BROOKLYN ,40.663304,-73.991375,7,38,143,3016736,3008730005,Park Slope-Gowanus                                                         
439,Toby's Public House,"""Amazing pizza and best neighborhood atmosphere""",646 6th Avenue,Brooklyn,NY,11215,(718) 788-1186,Food and Beverage,https://www.facebook.com/TobysPublicHouse/,BROOKLYN ,40.661396,-73.9898,7,38,143,3017106,3008790048,Park Slope-Gowanus                                                         
440,Lot 2,"""New America farm-to-table small menu restaurant""",687 6th Avenue,Brooklyn,NY,11215,718.499.5623,Food and Beverage,http://lot2restaurant.com/,BROOKLYN ,40.660713,-73.990481,7,38,147,3017183,3008860002,Sunset Park West                                                           
441,Neergard Pharmacy,"""Independently owned neighborhood pharmacy""",454 5th Avenue,Brooklyn,NY,11215,(718) 768-0600,Service,http://neergaardpharmacies.com/,BROOKLYN ,40.668851,-73.986587,6,39,139,3022263,3010100042,Park Slope-Gowanus                                                         
442,Bicycle Habitat,"""Super friendly & helpful bike shop""",476 5th Avenue,Brooklyn,NY,11215,(718) 788-2543,Retail,http://bicyclehabitat.com/,BROOKLYN ,40.668124,-73.987189,6,39,139,3022552,3010160043,Park Slope-Gowanus                                                         
443,Lexington Pizza Parlour,Restaurant,1590 Lexington Avenue,New York,NY,10029,212-722-7850,Food and Beverage,http://www.lexingtonpizzaparlour.com/,MANHATTAN,40.789217,-73.948727,11,8,166,1051842,1016290014,East Harlem South                                                          
444,Pachuli Floral Boutique,Flowers and gifts,46 Carmine Street,New York,NY,10014,(212) 727-0277,Retail,http://www.pachuliny.com,MANHATTAN,40.730016,-74.00342,2,3,67,1087258,1005277502,West Village                                                               
445,Atelier Jean Rousseau,Luxury leather goods,373 Madison Avenue,New York,NY,10017,(646) 861-0805,Retail,http://boutique@jean-rousseau.us,MANHATTAN,40.755208,-73.977513,5,4,94,1035393,1012810021,Midtown-Midtown South                                                      
446,Zeytuna Market,Grocery & deli,59 Maiden Lane,New York,NY,10038,(212) 742-2436,Food and Beverage,http://www.zeytuna.com/,MANHATTAN,40.708266,-74.008231,1,1,1502,1079043,1000670001,Battery Park City-Lower Manhattan                                          
447,Wagner's Tailoring,Tailor,141 Fulton Street,New York,NY,10038,(212) 608-3404,Service,,MANHATTAN,40.710415,-74.008109,1,1,1501,1001243,1000890002,Battery Park City-Lower Manhattan                                          
448,Specific Chiropractic,Chiropractic,120 East 56 Street,New York,NY,10022,(212) 486-9800,Service,http://www.gonsteadnyc.com,MANHATTAN,40.760539,-73.970328,5,4,100,1036530,1013100065,Turtle Bay-East Midtown                                                    
449,Perfect vision optical,Optical,1264 Castlehill Avenue,Bronx,NY,10454,(718) 618-7543,Service,https://www.facebook.com/perfectvisioninc/,BRONX    ,40.833663,-73.851477,9,18,92,2026929,2038230001,Westchester-Unionport                                                      
450,Coffee Mob,Coffee shop,1514 Newkirk Avenue,Brooklyn,NY,11226,(917) 545-5857,Food and Beverage,https://www.facebook.com/Coffee-Mob-389999214408030/,BROOKLYN ,40.635782,-73.962774,14,40,520,3121173,3052360008,Flatbush                                                                   
451,deeONES,"Alterations, tailoring and custom made garments.",220 west 30th Street,New York,NY,10001,(347) 213-6168,Service,https://www.facebook.com/deeonesnyc/,MANHATTAN,40.748815,-73.993298,5,3,95,1014298,1007790055,Midtown-Midtown South                                                      
452,Avigail Adam,"""Handmade jewelry (ancient jewelry, headband, goddess crowns)""",148 Bedford Avenue,New York,NY,11249,(347) 689-4448,Retail,https://www.avigailadam.com,BROOKLYN ,40.718815,-73.956689,1,33,517,3061787,3023110022,North Side-South Side                                                      
453,Treemarie LLC,Digital Agency,240 Kent Avenue,Brooklyn,NY,11249,(917) 387-4319,Service,http://www.treemarie.com,BROOKLYN ,40.716784,-73.965521,1,33,555,3251740,3023770012,North Side-South Side                                                      
454,Eastcoast Locksmith Inc,Locksmith & Hardware,210 East 198 Street,New York,NY,10458,(718) 220-4520,Retail,,BRONX    ,40.869841,-73.890453,7,15,40302,2017146,2033040126,Bedford Park-Fordham North                                                 
455,Harlem Sweet Treats,"Specializing in cake pops, push pops",225 West 123rd Street,New York,NY,10027,(347) 830-5658,Food and Beverage,http://www.HarlemSweetTreats.com,MANHATTAN,40.808079,-73.950237,10,9,222,1088671,1019290017,Central Harlem South                                                       
456,The Hop,4th Generation Shirt Makers,248 Elizabeth Street,New York,NY,10012,(212) 625-3105,Retail,http://SOCKHOPNY.COM,MANHATTAN,40.723508,-73.99382,2,1,43,1007853,1005070012,SoHo-TriBeCa-Civic Center-Little Italy                                     
457,Solid Tops Inc,Custom Corian,458 Baltic Street,Brooklyn,NY,11217,(718) 596-6569,Service,https://www.solidtopsinc.net/,BROOKLYN ,40.682855,-73.986753,6,33,71,3006455,3004050014,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
458,Warshaw Hardware,Hardware Store,248 Third Avenue,New York,NY,10010,(212) 475-5820,Retail,http://www.warshawhardware.com/,MANHATTAN,40.737171,-73.984368,6,2,50,1017962,1008760034,Gramercy                                                                   
459,La Gran Via Bakery,Cake Store,4516 5th Avenue,Brooklyn,NY,11220,(718) 853-8021,Food and Beverage,http://www.lagranviabakery.com/,BROOKLYN ,40.647763,-74.007568,7,38,80,3011565,3007470043,Sunset Park West                                                           
460,Niecias Day Care of Throgs Neck,Child care,261 Kearney ave,Bronx,NY,10465,(718) 319-1940,Service,https://m.facebook.com/nieciasdaycare,BRONX    ,40.819136,-73.812418,10,13,130,2078492,2054970011,Schuylerville-Throgs Neck-Edgewater Park                                   
461,Ponty Bistro,Restaurant,2375 Adam Clayton Powell Blvd,New York,NY,10030,(212) 234-6475,Food and Beverage,http://www.pontybistro.com/,MANHATTAN,40.81774,-73.941909,10,9,230,1060051,1020070061,Central Harlem North-Polo Grounds                                          
462,Sole di Capri,Italian cafe,165 Church St,New York,NY,10007,(212) 513-1113,Food and Beverage,http://soledicapriny.com/,MANHATTAN,40.71515,-74.007752,1,1,21,1001631,1001490014,SoHo-TriBeCa-Civic Center-Little Italy                                     
463,Cove Lounge,Restaurant,325 Malcolm X Blvd,New York,NY,10027,(212) 665-3455,Food and Beverage,https://www.covelounge.com/,MANHATTAN,40.808653,-73.944858,10,9,224,1057864,1019110031,Central Harlem North-Polo Grounds                                          
464,Hoodwinked Escape,Escape Games,151 West 116th Street,New York,NY,10026,(212) 662-2583,Other,http://hoodwinkedescape.com/,MANHATTAN,40.802629,-73.951101,10,9,218,1057392,1019010001,Central Harlem South                                                       
465,Levels Barbershop,Barber Shop,425 West 125th Street,New York,NY,10027,(212) 663-6144,Service,http://www.levelsbarbershop.com/,MANHATTAN,40.812108,-73.955154,9,7,20901,1059545,1019660052,Morningside Heights                                                        
466,B2 Harlem,Restaurant,271 West 119th Street,New York,NY,10026,(212) 280-2248,Food and Beverage,https://www.b2harlem.com/,MANHATTAN,40.805973,-73.953027,10,9,220,1058443,1019250005,Central Harlem South                                                       
467,Lolo's Seafood Shack,Seafood Restaurant,303 W 116th St,New York,NY,10026,(646) 649-3356,Food and Beverage,http://www.lolosseafoodshack.com/menu/,MANHATTAN,40.804538,-73.955625,10,9,20102,1059048,1019430128,Central Harlem South                                                       
468,Collier West,"Antique, Jewerly, Home Decor and artwork",377a Atlantic Avenue,New York,NY,11217,(718) 254-9378,Retail,https://collierwest.com,BROOKLYN ,40.687315,-73.985793,2,33,41,3000683,3001770044,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
469,Atlas Showroom,Handmade and luxury Décor from Morocco,141 Atlantic Avenue,New York,NY,11209,(646) 548-3588,Retail,https://atlasshowroom.com,BROOKLYN ,40.69053,-73.995377,2,33,7,3250402,3002757501,Brooklyn Heights-Cobble Hill                                               
470,Power Button,"Phone Repair Shop, Phone Sales, Plan Activations",83-15 37th Avenue,Jackson Heights,NY,11372,,Retail,https://www.facebook.com/powerbuttonco/,QUEENS   ,40.749878,-73.88315,3,25,281,4035828,4014570034,Jackson Heights                                                            
471,Music Matters,"""Music store with CDs, books, and supplies with a smile""",413 7th Ave,Brooklyn,NY,11215,(718) 369-7087,Retail,https://www.facebook.com/musicmatterstome/,BROOKLYN ,40.664215,-73.983801,6,39,149,3026463,3011000006,Park Slope-Gowanus                                                         
472,ORAIKO,"Software, Web Design and Online Marketing Company",11 Broadway Suite 1051,New York,NY,10004,(212) 483-1000,Service,http://oraiko.com/,MANHATTAN,40.705354,-74.013731,1,1,13,1000044,1000130005,Battery Park City-Lower Manhattan                                          
473,SOS Locksmith,NYC Locksmith since 1973,197 7th Ave ,New York,NY,,(212) 206-7777,Service,http://soslocksmith.com/,,,,,,,,,
474,The Famous Emilio's Pizza,"""Best pizza in NYC""",2020 Eastchester Rd,Bronx,NY,10461,(718) 684-4918,Food and Beverage,http://www.famousemiliospizzabronx.com,BRONX    ,40.853859,-73.84344,11,13,296,2088563,2042180006,Pelham Parkway                                                             
475,mph Courier Service,Courier Service,31 West 34th Street,New York,NY,10001,(212) 239-1818,Service,http://mphny.com,MANHATTAN,40.749256,-73.98648,5,4,76,1083638,1008360010,Midtown-Midtown South                                                      
476,Styles Beauty Lounge,Hair Salon,17-19 West 45th Street  7th Floor,New York,NY,10018,(212) 730-6488,Service,http://www.stylesbeautylounge.com/,MANHATTAN,40.755774,-73.980332,5,4,96,1034248,1012610027,Midtown-Midtown South                                                      
477,Lion Lion Bar,"""New sexy cocktail bar right in the heart of El Barrio. Happy Hour is a must!""",332 East 116th Street,New York,NY,10029,(917) 262-0517,Food and Beverage,https://www.facebook.com/lionlionbareastharlem/,MANHATTAN,40.7966,-73.936835,11,8,188,1052943,1016870137,East Harlem North                                                          
479,Aeon Martial Arts,Martial arts school,69-21 164 street,Fresh Meadows,NY,11365,(718) 380-2366,Service,https://m.facebook.com/AEON-Martial-ARTS-170020150036240/,QUEENS   ,40.7327,-73.804997,8,24,122701,4000000,4069310038,Pomonok-Flushing Heights-Hillcrest                                         
480,All Wolves No Sheep,Tattoo parlour,920 Fulton st.,Brooklyn,NY,11203,(718) 825-4629,Service,https://www.allwolvesnosheep.com/,BROOKLYN ,40.682908,-73.964186,2,35,201,3335108,3020130033,Clinton Hill                                                               
481,Sip and Screen,Movie Theater,2031 Adam Clayton Powell Blvd. New York,New York,NY,10027,,Other,https://sipandscreen.splashthat.com/,MANHATTAN,40.806748,-73.949938,10,9,220,1057700,1019060064,Central Harlem South                                                       
482,Harlem Cycle,Fitness Studio,2350 Adam Clayton Powell Blvd,New York,NY,10030,(646) 404-2891,Service,https://www.facebook.com/harlemcycle/,MANHATTAN,40.817002,-73.942474,10,9,228,1060222,1020230034,Central Harlem North-Polo Grounds                                          
483,Spirare Cleaning & Tailoring Center,"""Dry Cleaning/Laundry/Tailoring Center-Excellent work done, friendly staff""",84-20A Jamaica Avenue,Woodhaven,NY,11421,(347) 489-3113,Service,,QUEENS   ,40.692478,-73.859393,9,32,10,4183717,4089190024,Woodhaven                                                                  
484,Paul Pellicoro's Dancesport 34th Street,Social & Profession Latin & Ballroom Dance Instruction,22 West 34th St  4th Floor,New York,NY,10001,,Service,http://Dancesport.com,MANHATTAN,40.749176,-73.98634,5,4,76,1083636,1008350056,Midtown-Midtown South                                                      
485,A Uno Tribeca,Women's clothing shop,123 West Broadway,New York,NY,10013,(212) 227-6233,Retail,http://www.aunotribeca.com/,MANHATTAN,40.71638,-74.008531,1,1,33,1001599,1001467502,SoHo-TriBeCa-Civic Center-Little Italy                                     
486,Maite,Restaurant,159 Central Ave,Brooklyn,NY,11221,,Food and Beverage,http://www.maitebushwick.com,BROOKLYN ,40.699043,-73.926815,4,34,423,3072901,3032080001,Bushwick South                                                             
487,WhenLoveWorks Coaching,Interactive Relationship Coaching for personal and professional development, ,New York,NY,10035,(917) 268-6424,Service,http://www.whenloveworks.com,,,,,,,,,
488,Urban Yoga Foundation,Yoga studio,549 W 152nd St,New York,NY,10031,(212) 234-2371,Other,http://www.urbanyogafoundation.org/,MANHATTAN,40.830227,-73.945729,9,7,237,1062219,1020840008,Hamilton Heights                                                           
489,Jin's Superette,"""The best bodega ever""",804 W 181st St,New York,NY,10033,(212) 923-4937,Retail,,MANHATTAN,40.850979,-73.938562,12,10,265,1064298,1021770100,Washington Heights South                                                   
490,Lucy's Vietnamese Kitchen,"""Neighborhood vietnamese restaurant, open by bushwick native!""",262 Irving Avenue,Brooklyn,NY,11237,(718) 483-9837,Food and Beverage,http://www.lucyskitchenny.com,BROOKLYN ,40.699837,-73.915836,4,37,433,3075716,3033090026,Bushwick North                                                             
491,Anthony Aiden,"""Eyewear institution in the East Village since 1989""",42 St. Marks Place,New York,NY,10003,(212) 533-1577,Retail,http://anthonyaidenopticians.com,MANHATTAN,40.728382,-73.987188,3,2,38,1006315,1004497501,East Village                                                               
492,Swallow Cafe,Coffee shop,156 Atlantic Avenue,Brooklyn,NY,11206,(347) 689-4192,Food and Beverage,,BROOKLYN ,40.69031,-73.994645,6,39,45,3002955,3002850027,Carroll Gardens-Columbia Street-Red Hook                                   
493,MEE CAFE,"""Small bubble tea shop""",26 Rutgers Street,New York City,NY,10002,(646) 996-0029,Food and Beverage,,MANHATTAN,40.71305,-73.990069,3,1,6,1003256,1002730024,Lower East Side                                                            
494,Do or Die Tattoo,Tattoo Shop,44 Wyckoff Avenue,Brooklyn,NY,11237,(929) 210-9117,Service,https://www.facebook.com/DoOrDieTattoo/,BROOKLYN ,40.705852,-73.921719,4,34,447,3072772,3031990036,Bushwick North                                                             
495,Papel New York,Paperie and Gift Shop,225 Court Street,Brooklyn,NY,11201,(718) 422-0255,Retail,http://www.papelnewyork.com,BROOKLYN ,40.686341,-73.993971,6,33,69,3006300,3003960009,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
496,Arabella's Castle,"""Elegant Banquet hall for any events or occasions""",92-01 101st Avenue,Ozone Park,NY,11416,(516) 361-2894,Other,http://www.arabellacastle.com/,QUEENS   ,40.68359,-73.848411,9,32,38,4188550,4090660039,Woodhaven                                                                  
497,Loom Yoga,Yoga studio,1087 Flushing Avenue,Brooklyn,NY,11237,,Other,https://loomyoga.com/,BROOKLYN ,40.704819,-73.928504,1,34,453,3070752,3030140014,Bushwick North                                                             
498,Mixtape,Coffee shop,1533 Myrtle Avenue,Brooklyn,NY,11237,,Food and Beverage,https://www.facebook.com/MixtapeBK/,BROOKLYN ,40.699262,-73.914056,4,37,441,3076174,3033280005,Bushwick North                                                             
499,Milk & Pull,Coffee Shop,181 Irving Avenue,Brooklyn,NY,11237,(347) 627-8511,Food and Beverage,http://www.milkandpull.com/,BROOKLYN ,40.701989,-73.919577,4,37,443,3074221,3032590003,Bushwick North                                                             
500,Norberts Pizza,"""Owner Operated Small Pizza Place in Bushwick / Bed Stuy""",4 Stuyvesant Avenue,Brooklyn,NY,11221,(718) 574-3400,Food and Beverage,http://norbertspizza.com,BROOKLYN ,40.696591,-73.934781,3,36,287,3042900,3015860038,Stuyvesant Heights                                                         
501,Amine Barber Shop,"""Great place to get a haircut (and occassionally watch international soccer)""",28-54 34th Street,Astoria,NY,11103,(347) 255-0584,Service,,QUEENS   ,40.767068,-73.917943,1,22,6501,4009150,4006270041,Astoria                                                                    
502,Gracious Home,Bedding and Bath Store,1210 3rd Avenue,New York,NY,10021,(212) 517-6300,Retail,http://www.gracioushome.com,MANHATTAN,40.768529,-73.96149,8,4,128,1042739,1014050033,Upper East Side-Carnegie Hill                                              
503,Polito's Pizza,"""Fantastic Pizza Place""",38-12 Broadway,Astoria,NY,11103,(718) 626-6344,Food and Beverage,https://www.facebook.com/PolitosPizzaNY/,QUEENS   ,40.759283,-73.919678,1,22,155,4010408,4006560036,Astoria                                                                    
504,Akram Deli,Grocery shop and Deli,4192 Akram Deli,Bronx,NY,10466,(347) 614-8567,Food and Beverage,https://www.facebook.com/4192-Akram-Deli-775064495957837/,,,,,,,,,
505,DaVinci Artist Supply,Art supplies,132 West 21st Street,New York,NY,10011,(212) 871-0220,Retail,http://www.davinciartistsupply.com,MANHATTAN,40.742065,-73.994818,4,3,87,1014757,1007960058,Hudson Yards-Chelsea-Flatiron-Union Square                                 
506,Terra Firma,Restaurant and Music Venue for Local Artists,119 Ingraham Street,Brooklyn,NY,11237,(718) 366-4375,Food and Beverage,http://www.terrafirmanyc.com,BROOKLYN ,40.707523,-73.929237,1,34,453,3070614,3029920033,Bushwick North                                                             
507,Global Security Group Inc,Fire / Life Safety and Executive Security Protection,421 7th Avenue,New York,NY,10001,(212) 285-2400,Other,http://globalsecuritygroup.com,MANHATTAN,40.750503,-73.990966,5,3,101,1015192,1008090001,Midtown-Midtown South                                                      
508,Ortiz & Ortiz LLP,"""Family-owned law firm that helps small businesses and families""",3272 Steinway Street,Astoria,NY,11103,(718) 522-1117,Service,http://www.ortizandortiz.com,QUEENS   ,40.757299,-73.920373,1,22,155,4010426,4006560066,Astoria                                                                    
509,Lantern Hall,Craft Beer Bar,52 Harrison Place,Brooklyn,NY,11237,(718) 381-2122,Food and Beverage,http://www.lanternhall.com,BROOKLYN ,40.706426,-73.931391,1,34,453,3070660,3030030010,Bushwick North                                                             
510,The Sampler Bushwick,Craft Beer Store,234 Starr Street,Brooklyn,NY,11237,(718) 484-3560,Food and Beverage,https://thesamplerbk.com/,BROOKLYN ,40.705521,-73.922715,4,34,447,3072768,3031990026,Bushwick North                                                             
511,Preferred Pharmacy,Pharmacy,1771 Broadway,Brooklyn,NY,11207,(718) 872-7717,Retail,http://rxnyc.com/,BROOKLYN ,40.682502,-73.909729,4,37,403,3397066,3034500009,Bushwick South                                                             
512,Arty?s Shoe Repair Inc.,"locally owned shoe, purse and bag repair shop",243 8th Avenue,New York,NY,10011,(212) 255-1451,Service,,MANHATTAN,40.74486,-73.998816,4,3,93,1013361,1007460038,Hudson Yards-Chelsea-Flatiron-Union Square                                 
513,Prologue Coffee Room,Cafe,120C Lafayette Street,New York,NY,10013,,Food and Beverage,https://www.facebook.com/prologuecoffeeroom/,MANHATTAN,40.718549,-74.000437,2,1,45,1002689,1002090024,SoHo-TriBeCa-Civic Center-Little Italy                                     
514,OddFellows Ice Cream Co.,Best Ice Cream Shop,75 East 4th Street,New York,NY,10003,(917) 475-1812,Food and Beverage,http://www.oddfellowsnyc.com,MANHATTAN,40.726544,-73.990241,3,2,38,1077985,1004600049,East Village                                                               
515,Espy Color Imaging,Printing Service,252 Driggs Avenue,Brooklyn,NY,11222,(718) 389-1088,Service,http://www.espycolorimaging.com,BROOKLYN ,40.722687,-73.947934,1,33,571,3066855,3026820037,Greenpoint                                                                 
516,Bridge Cleaners & Tailors,Dry Cleaner & Tailor,204 Livingston Street,Brooklyn,NY,11201,(646) 552-0813,Service,http://bridgecleaners.com,BROOKLYN ,40.689755,-73.986078,2,33,37,3000487,3001640034,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
517,King Garment Care,Dry Cleaner & Tailor,220 Avenue of the America,New York,NY,10014,(646) 552-0813,Service,http://kinggarmentcare.com,MANHATTAN,40.727496,-74.003225,2,3,37,1008100,1005190036,SoHo-TriBeCa-Civic Center-Little Italy                                     
518,Burgeon Hair,Hair salon,1081 Bergen Street,Brooklyn,NY,11216,(718) 362-0857,Service,http://Burgeonhair.com,BROOKLYN ,40.676137,-73.950516,8,36,315,3030335,3012120049,Crown Heights North                                                        
519,Bushwick Community Darkroom,"""Friendly darkroom offering services & resources for photographers of all levels""",110 Troutman Street,Brooklyn,NY,11206,(718) 218-4023,Service,http://www.bushwickcommunitydarkroom.com,BROOKLYN ,40.69944,-73.929851,4,34,423,3072474,3031840017,Bushwick South                                                             
520,Bake Shop,Vegetarian Cafe-Bakey,995 Flushing Avenue,Brooklyn,NY,11206,(718) 381-3706,Food and Beverage,https://www.facebook.com/Vinylfantasybk/,BROOKLYN ,40.703131,-73.932827,1,34,485,3071638,3031240012,Bushwick South                                                             
521,Vinyl Fantasy,Comics & Records,194 Knickerbocker Avenue,Brooklyn,NY,11237,,Retail,http://@Vinylfantasybk (Instagram),BROOKLYN ,40.703596,-73.926789,4,34,427,3072318,3031740028,Bushwick North                                                             
522,Park Chemists,Pharmacy and gift shop,164 5th Avenue,Brooklyn,NY,11217,(718) 393-5555,Retail,http://parkchemistsrx.com/,BROOKLYN ,40.677828,-73.979511,6,39,131,3019364,3009460054,Park Slope-Gowanus                                                         
523,Local honey,Nail salon and waxing spa,53 Irving Avenue,Brooklyn,NY,11237,(347) 404-6139,Service,http://Localhoneybk.com,BROOKLYN ,40.704767,-73.924468,4,34,447,3072593,3031880009,Bushwick North                                                             
524,Mominette Bistro,French bistro,221 Knickerbocker Avenue,Brooklyn,NY,11237,(929) 234-2941,Food and Beverage,http://Mominette.com,BROOKLYN ,40.703127,-73.925927,4,34,427,3328112,3031870007,Bushwick North                                                             
525,Bushwick Bakery,French bakery,127 Central Avenue,Brooklyn,NY,11221,(860) 662-1654,Food and Beverage,http://Bushwick-bakery.com,BROOKLYN ,40.699826,-73.928203,4,34,423,3325275,3031960008,Bushwick South                                                             
526,Lido,Delicious Italian food in Harlem,2168 Frederick Douglass Blvd,New York,NY,11216,(646) 490-8575,Food and Beverage,http://www.lidoharlem.com,,,,,,,,,
527,Valery Deli and Gorcery Store,Deli Coffee Grocery Store,216 Knickerbocker Avenue,Brooklyn,NY,11237,(347) 458-7064,Retail,,BROOKLYN ,40.703297,-73.926262,4,34,427,3072324,3031740035,Bushwick North                                                             
528,La Lupe,"""The coolest Mexican spot in Bushwick. Women owned""",9 Jefferson Street,Brooklyn,NY,11206,(917) 379-2367,Food and Beverage,http://www.lalupebk.com,BROOKLYN ,40.697332,-73.934903,4,34,389,3071999,3031600001,Bushwick South                                                             
